id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
22307939,Obsessive/Compulsive Disorders,Diagnostic,What cognitive bias was investigated in individuals with high levels of checking tendencies in relation to attentional processes?,Attentional flexibility,Visual memory,Inhibition of return,Spatial awareness,Inhibition of return,3,4.0
17416488,Obsessive/Compulsive Disorders,Factoid,"Which neuroimaging technique has shown involvement of the insular cortex in various neuropsychiatric disorders, including obsessive-compulsive disorder?",Ultrasound,X-ray,CT scan,fMRI,fMRI,4,3.0
30237966,Obsessive/Compulsive Disorders,Factoid,Which symptom dimension in obsessive-compulsive disorder (OCD) has been associated with worse treatment outcomes after cognitive behavioral therapy (CBT)?,Sexual/Aggressive/Religious,Symmetry/Ordering,Dirtiness,Contamination,Sexual/Aggressive/Religious,1,2.0
15011166,Obsessive/Compulsive Disorders,Prognostic,What treatment options are considered for managing Tourette syndrome in patients with comorbid obsessive compulsive disorder?,Herbal supplements,Cognitive-behavioral therapy,Stimulant medications,Antidepressants,Stimulant medications,3,1.0
16926619,Obsessive/Compulsive Disorders,Factoid,What is the primary focus of the Children's Yale-Brown Obsessive Compulsive Scale modified for pervasive developmental disorders?,Tic severity,Depression severity,Anxiety severity,Compulsion severity,Compulsion severity,4,4.0
38332338,Obsessive/Compulsive Disorders,Prognostic,What factors are most commonly associated with worsened prognosis in patients with obsessive-compulsive disorder?,Presence of generalized anxiety disorder,History of mild depression,Low-functioning social skills,Childhood trauma exposure,Presence of generalized anxiety disorder,1,2.0
35464603,Obsessive/Compulsive Disorders,Factoid,Which type of modern ablative surgery is described as utilizing MRI-guided stereotactic techniques for treating psychiatric disorders?,Frontal lobotomy,Ectopic cingulotomy,Transorbital lobotomy,Bilateral anterior cingulotomy,Bilateral anterior cingulotomy,4,4.0
16374600,Obsessive/Compulsive Disorders,Factoid,Which compound has shown efficacy as an augmentation treatment for serotonin reuptake inhibitor refractory obsessive-compulsive disorder?,Fluvoxamine,Sertraline,N-acetylcysteine,Citalopram,N-acetylcysteine,3,4.0
34924690,Obsessive/Compulsive Disorders,Factoid,What is a core feature related to hoarding disorder that was assessed in both English and Spanish versions of the Hoarding Rating Scale?,Compulsive shopping,Disruption of living areas,Excessive saving behavior,Difficulty making decisions,Disruption of living areas,2,1.0
24731833,Obsessive/Compulsive Disorders,Diagnostic,What brain region is suggested to be associated with the onset of secondary obsessive-compulsive disorder (OCD) in a patient after tumor resection?,Right frontal lobe,Brainstem,Occipital lobe,Left temporal lobe,Right frontal lobe,1,2.0
30614171,Obsessive/Compulsive Disorders,Preventive,How can the use of intranasal oxytocin potentially impact emotion attributions in individuals with body dysmorphic disorder?,Increase internal attributions,Improve emotion recognition,Reduce self-blame,Decrease social cognition impairments,Increase internal attributions,1,2.0
29161610,Obsessive/Compulsive Disorders,Preventive,Which intervention might be effective in reducing maladaptive interpretations in individuals with contamination concerns in OCD?,Exposure Therapy,Cognitive Bias Modification training,Medication,Mindfulness training,Cognitive Bias Modification training,2,2.0
38318544,Obsessive/Compulsive Disorders,Factoid,Which psychological scale was used to evaluate obsessive-compulsive symptoms in patients diagnosed with OCD?,Beck Depression Inventory,Metacognition Scale,Yale-Brown Obsession and Compulsion Scale,Beck Anxiety Inventory,Yale-Brown Obsession and Compulsion Scale,3,4.0
38917724,Obsessive/Compulsive Disorders,Factoid,Which subtype of obsessive-compulsive disorder was associated with higher severity of anxiety and depression symptoms?,Childhood-onset type OCD,Autogenous type OCD,Cognitive-behavioral type OCD,Reactive type OCD,Autogenous type OCD,2,2.0
22375841,Obsessive/Compulsive Disorders,Diagnostic,Which neuropsychological impairment was significantly correlated with poor insight in individuals with obsessive-compulsive disorder?,Memory recall tasks,Attention span tasks,Conflict resolution tasks,Visual perception tasks,Conflict resolution tasks,3,2.0
33252917,Obsessive/Compulsive Disorders,Diagnostic,What psychological process is suggested to maintain disorder symptomatology and psychosocial impairment in body dysmorphic disorder (BDD)?,Reduced serotonin levels,Distorted cognitive frameworks,Maladaptive interpretation biases,Hyperactive dopamine pathways,Maladaptive interpretation biases,3,1.0
23225541,Obsessive/Compulsive Disorders,Factoid,What potential biomarker is associated with error-related negativity in pediatric obsessive-compulsive disorder?,Anterior cingulate cortex activity,Cortisol levels,Brain-derived neurotrophic factor,Glutamate concentration,Anterior cingulate cortex activity,1,2.0
27310102,Obsessive/Compulsive Disorders,Prognostic,How does the severity of depressive symptoms at baseline predict the trajectory of obsessive-compulsive symptoms over time in OCD patients?,It has no correlation,It is weakly correlated,It has a significant positive correlation,It has a significant negative correlation,It has a significant positive correlation,3,4.0
34360350,Obsessive/Compulsive Disorders,Diagnostic,What constructs are identified as risk and protective factors in relation to compulsive buying behavior among university students?,Financial success and hedonism,Self-acceptance and popularity,Image and community feeling,Generativity and intrinsic goals,Generativity and intrinsic goals,4,4.0
33948098,Obsessive/Compulsive Disorders,Diagnostic,Which psychological factor has been identified as being associated with running-related injuries among recreational runners?,Self-efficacy,Obsessive passion,Stress levels,Sleep hygiene,Obsessive passion,2,1.0
11225752,Obsessive/Compulsive Disorders,Diagnostic,Which family factors may contribute as risk factors in the development of childhood obsessive-compulsive disorder?,Dietary habits,Social media exposure,Parental modeling and expressed emotion,Sibling rivalry,Parental modeling and expressed emotion,3,4.0
30692943,Obsessive/Compulsive Disorders,Prognostic,How are obsessive-compulsive symptoms related to the likelihood of suicidal thoughts?,Positively associated,Inversely associated,Not associated,Negatively associated,Positively associated,1,1.0
33949731,Obsessive/Compulsive Disorders,Factoid,Which brain circuit showed increased dynamic amplitude of low-frequency fluctuation in drug-naÃ¯ve patients with obsessive-compulsive disorder?,Visual processing circuit,Amygdala circuit,Hippocampal circuit,Cortical-striatal-thalamic-cortical circuit,Cortical-striatal-thalamic-cortical circuit,4,3.0
22543530,Obsessive/Compulsive Disorders,Preventive,Which treatment has been shown to benefit treatment-refractory obsessive-compulsive disorder (OCD) patients by resynchronizing circadian rhythms?,Citalopram,Agomelatine,Sertraline,Clomipramine,Agomelatine,2,2.0
38714143,Obsessive/Compulsive Disorders,Diagnostic,What cognitive traits are shown to have impairments in patients with obsessive-compulsive disorder (OCD) compared to healthy controls?,Memory and perception,Creativity and sociability,Aggression and anxiety,Compulsivity and impulsivity,Compulsivity and impulsivity,4,4.0
37357670,Obsessive/Compulsive Disorders,Diagnostic,What structural brain abnormality was explored as a potential underlying factor in medication-free patients with obsessive-compulsive disorder?,Hippocampal Volume,Amygdala Size,Cerebello-Thalamic WM Integrity,Frontal Cortex Activity,Cerebello-Thalamic WM Integrity,3,1.0
35371793,Obsessive/Compulsive Disorders,Prognostic,What is the potential outcome of introducing robot-assisted relaxation in managing ASD-related behavioral disturbances?,Improved emotional regulation,Worsened anxiety symptoms,Decline in academic performance,Increased compulsive behaviors,Improved emotional regulation,1,3.0
31927718,Obsessive/Compulsive Disorders,Factoid,What treatment was shown to increase GDNF and BDNF levels in serum and brain tissue of obsessive-compulsive disorder rats?,Escitalopram,Citalopram,Fluoxetine,Sertraline,Escitalopram,1,4.0
14975068,Obsessive/Compulsive Disorders,Factoid,Which atypical antipsychotic is suggested for the treatment of refractory obsessive-compulsive disorder?,Aripiprazole,Risperidone,Olanzapine,Quetiapine,Risperidone,2,1.0
20029829,Obsessive/Compulsive Disorders,Diagnostic,What is likely a contributing genetic factor shared between autism spectrum disorders and obsessive-compulsive behaviors?,Environmental triggers,Dietary influences,Psychosocial factors,Generalist genes,Generalist genes,4,1.0
20714212,Obsessive/Compulsive Disorders,Prognostic,What psychiatric side effect may emerge following deep brain stimulation in patients with obsessive-compulsive disorder?,Cognitive decline,Anxiety attacks,Manic episodes,Depressive episodes,Manic episodes,3,1.0
15628838,Obsessive/Compulsive Disorders,Factoid,"What is a notable complication associated with an overdose of insulin, as mentioned in the literature?",Hypertension,Hypoglycemia,Hyperlipidemia,Diabetes Mellitus,Hypoglycemia,2,2.0
16397120,Obsessive/Compulsive Disorders,Diagnostic,What underlying factor differentiates a dangerous obsessor from a benign enthusiastic fan in cases of celebrity stalking?,Age of the fan,Celebrity influence,Personal motivations and warning signs,Physical distance,Personal motivations and warning signs,3,1.0
19389200,Obsessive/Compulsive Disorders,Factoid,Which two factors were identified in the principal factor analysis of the Obsessive Compulsive Drinking Scale applied to alcohol-dependent subjects?,"Obsessive thoughts related to drinking, Interference behaviors","Compulsive drinking rhythms, Destructive drinking habits","Obsessive thoughts related to drinking, Coping behaviors","Psychological dependence, Physical dependence","Obsessive thoughts related to drinking, Interference behaviors",1,4.0
34752943,Obsessive/Compulsive Disorders,Diagnostic,What factor was associated with symptom improvement in patients without contamination-related obsessive-compulsive disorder during the early months of the COVID-19 pandemic?,Increased social support,Female gender,Lower initial OCI-R,Higher initial OCI-R,Higher initial OCI-R,4,4.0
34452675,Obsessive/Compulsive Disorders,Diagnostic,What interpersonal attachment style is associated with increased object attachment over time in individuals with hoarding disorder?,Dependent,Avoidant,Secure,Anxious,Anxious,4,4.0
22288678,Obsessive/Compulsive Disorders,Preventive,What type of intervention may improve treatment outcomes for individuals with obsessive-compulsive disorder by addressing family dynamics?,Psychosocial support groups,Family therapy targeting accommodation,Individual therapy,Medication adjustment,Family therapy targeting accommodation,2,3.0
29494778,Obsessive/Compulsive Disorders,Factoid,Which model provided the best fit for assessing the Pathological Obsessive Compulsive Personality Scale in undergraduates?,Unidimensional model,Bifactor model,Five-factor model,Multi-dimensional model,Bifactor model,2,1.0
35312241,Obsessive/Compulsive Disorders,Diagnostic,"Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?",Bipolar disorder,Depressive disorder,Generalized anxiety disorder,Obsessive-compulsive disorder,Obsessive-compulsive disorder,4,1.0
23213052,Obsessive/Compulsive Disorders,Diagnostic,What was the most commonly co-occurring symptom in participants with clinically significant hoarding behavior?,Attention deficit hyperactivity disorder,Obsessive-compulsive symptoms,Anxiety symptoms,Depression symptoms,Depression symptoms,4,1.0
35621169,Obsessive/Compulsive Disorders,Diagnostic,What psychotic-like symptoms are induced by the subchronic administration of ketamine in the studied model?,Obsessive-compulsive behaviors,Increased cognitive flexibility,Elevated mood,Improved social interactions,Obsessive-compulsive behaviors,1,4.0
35728274,Obsessive/Compulsive Disorders,Diagnostic,Which symptom characteristic differences between treatment responders and non-responders may aid in identifying patients who might not benefit from standard OCD treatment?,History of major life stressors,Baseline distress intolerance,Comorbid anxiety levels,Severity of compulsions,Baseline distress intolerance,2,2.0
26914941,Obsessive/Compulsive Disorders,Diagnostic,What shared performance deficits in oculomotor function were observed in patients with both schizophrenia and obsessive-compulsive disorder?,Faster corrective saccades,Higher antisaccade error rate,Lower smooth eye control,Increased fixation stability,Higher antisaccade error rate,2,1.0
38759496,Obsessive/Compulsive Disorders,Preventive,What alternative treatment is suggested for patients with obsessive-compulsive disorder who do not respond well to traditional treatments?,Deep transcranial magnetic stimulation,Cognitive behavioral therapy,Electroconvulsive therapy,Medication adjustments,Deep transcranial magnetic stimulation,1,2.0
15219702,Obsessive/Compulsive Disorders,Preventive,What type of drug is commonly used to alleviate symptoms of obsessive-compulsive disorder?,Tricyclic antidepressants,Monoamine oxidase inhibitors,Selective serotonin reuptake inhibitors,Atypical antipsychotics,Selective serotonin reuptake inhibitors,3,1.0
24276732,Obsessive/Compulsive Disorders,Preventive,What type of treatment is highlighted as crucial for severe cases of obsessive-compulsive disorder that do not respond to outpatient therapies?,Psychotherapy,In-patient treatment,Medication changes,Group therapy,In-patient treatment,2,3.0
24080532,Obsessive/Compulsive Disorders,Prognostic,How might repeated triggers of mental contamination influence the persistence of compulsive cleaning behaviors in individuals with obsessive-compulsive disorder?,They might reduce anxiety-related symptoms,They may increase serotonin levels,They are likely to strengthen the maintenance of mental contamination fears,They could enhance psychological resilience,They are likely to strengthen the maintenance of mental contamination fears,3,2.0
31828741,Obsessive/Compulsive Disorders,Prognostic,Which cerebrovascular event may contribute to the onset of obsessive-compulsive disorder in patients?,Arterial stroke,Cerebral venous sinus thrombosis,Aneurysm rupture,Transient ischemic attack,Cerebral venous sinus thrombosis,2,1.0
34097247,Obsessive/Compulsive Disorders,Prognostic,How might fluctuations in family accommodation affect the severity of OCD symptoms as pandemic-related stress changes?,Decrease by alleviating symptoms,Impact is yet to be determined,Increase by intensifying symptoms,Remain unchanged,Increase by intensifying symptoms,3,1.0
23602943,Obsessive/Compulsive Disorders,Preventive,What additional training may enhance the effectiveness of exposure and response prevention for children with OCD complicated by disruptive behavior?,Mindfulness techniques,Parental management training,Coping strategies,Cognitive restructuring,Parental management training,2,1.0
38343833,Trauma,Prognostic,How might culturally focused interventions affect the rates of suicide and substance misuse among Alaska Native youth?,Increase cultural connectedness,Enhance individual protective factors,Foster community resilience,Decrease social disconnection,Increase cultural connectedness,1,1.0
31003459,Obsessive/Compulsive Disorders,Prognostic,How might the presence of multiple non-substance use disorders (non-SUDs) affect alcohol consumption in low-income African American men?,No effect on alcohol consumption,Increase likelihood of abstinence,Reduce alcohol consumption,Heighten alcohol consumption,Heighten alcohol consumption,4,1.0
22867508,Obsessive/Compulsive Disorders,Diagnostic,Which interpersonal pattern reflects a key feature of borderline personality disorder as derived from core relational themes?,Critical relations,Assertive interactions,Dependent-depressive interactions,Avoidant interactions,Dependent-depressive interactions,3,1.0
30830895,Obsessive/Compulsive Disorders,Preventive,What approach is generally believed to be more effective for treating obsessive-compulsive disorder with intrusive activities than pharmacotherapy?,Psychotherapy,Mindfulness-based therapy,Psychoeducation,Support groups,Psychotherapy,1,1.0
34837883,Obsessive/Compulsive Disorders,Prognostic,What factor was identified as protective against the exacerbation of OCD symptoms during the COVID-19 pandemic and at follow-up?,Medication adherence,Female gender,Financial stability,Optimism,Optimism,4,1.0
21272861,Obsessive/Compulsive Disorders,Diagnostic,Which brain region showed attenuated reward anticipation activity in patients with obsessive-compulsive disorder?,Amygdala,Nucleus accumbens,Prefrontal cortex,Hippocampus,Nucleus accumbens,2,4.0
25527882,Obsessive/Compulsive Disorders,Preventive,"What treatment is shown to be effective for patients with severe, treatment-resistant obsessive-compulsive disorder?",Transcranial magnetic stimulation,Deep brain stimulation,Electroconvulsive therapy,Cognitive behavioral therapy,Deep brain stimulation,2,4.0
26393363,Obsessive/Compulsive Disorders,Prognostic,How does self-ambivalence relate to treatment outcomes in patients undergoing therapy for obsessive-compulsive disorder?,Leads to better outcomes,Interferes with medication efficacy,Has no effect,Predicts poorer outcomes,Predicts poorer outcomes,4,4.0
17110253,Obsessive/Compulsive Disorders,Diagnostic,Which disorder is associated with extreme subjective fears of ugliness in patients seeking orthodontic treatment?,Generalized anxiety disorder,Social anxiety disorder,Body dysmorphic disorder,Obsessive-compulsive disorder,Body dysmorphic disorder,3,1.0
17286545,Obsessive/Compulsive Disorders,Factoid,Which selective serotonin reuptake inhibitor is noted as the most potent in inhibiting serotonin reuptake among available SSRIs?,Sertraline,Citalopram,Fluoxetine,Paroxetine,Paroxetine,4,1.0
20965515,Obsessive/Compulsive Disorders,Factoid,"In the analysis of white matter in obsessive-compulsive disorder, which area showed significantly less fractional anisotropy compared to healthy controls?",Temporal lobe,Cerebellum,Anterior body of corpus callosum,Frontal lobe,Anterior body of corpus callosum,3,4.0
35109924,Obsessive/Compulsive Disorders,Prognostic,What potential outcome is expected from the deep brain stimulation of the nucleus accumbens in children with severe self-injurious behavior?,Increase in aggression,Improvement in social skills,Reduction in self-injurious behavior,Enhanced cognitive function,Reduction in self-injurious behavior,3,4.0
33910778,Obsessive/Compulsive Disorders,Prognostic,What potential improvement can short-term Huatou Chan training bring to patients suffering from high levels of anxiety and depression?,Enhancement in physical health,Increased reliance on medication,Reduced levels of obsessive-compulsive symptoms,Worsening cognitive functions,Reduced levels of obsessive-compulsive symptoms,3,4.0
37820789,Obsessive/Compulsive Disorders,Diagnostic,Which type of therapy has been shown to elicit significant changes in functional network connectivity in patients with obsessive-compulsive disorder?,Interpersonal therapy,Psychodynamic therapy,Cognitive behavioral therapy,Exposure and response prevention,Exposure and response prevention,4,1.0
24999397,Obsessive/Compulsive Disorders,Diagnostic,How is obsessive-compulsive personality disorder (OCPD) related to excessive exercise in patients with anorexia nervosa?,Negatively associated,Positively associated,Not associated,Causally related,Positively associated,2,4.0
24031145,Obsessive/Compulsive Disorders,Preventive,Which lifestyle modification is suggested to prevent obesity in individuals with mental disorders?,Higher sugar intake,Reduced social interaction,Increased physical activity,Minimal medication adherence,Increased physical activity,3,4.0
28715850,Obsessive/Compulsive Disorders,Prognostic,What aspect of treatment willingness is suggested to be a marker for improved outcomes in ERP therapy for obsessive-compulsive disorder?,High willingness to face distressing thoughts,Limited engagement in therapy sessions,Increased medication adherence,Low willingness to change rituals,High willingness to face distressing thoughts,1,1.0
15664794,Obsessive/Compulsive Disorders,Diagnostic,Which brain region is indicated to show increased activity in patients with obsessive-compulsive disorder related to contamination fear?,Left amygdala,Occipital lobe,Right amygdala,Frontal lobe,Left amygdala,1,1.0
35222134,Anxiety,Prognostic,What demographic factors were linked to lower psychological distress among Sudanese migrants in the UAE?,Larger social networks and support,Higher education and marital status,Longer residence and previous work experience,Older age and employment status,Older age and employment status,4,1.0
35410485,Anxiety,Preventive,"What factor has been shown to consistently lead to higher levels of stress, anxiety, and depression in parents during the COVID-19 pandemic?",Childcare responsibilities,Food Insecurity,Employment instability,Access to healthcare,Food Insecurity,2,4.0
33751206,Anxiety,Preventive,What potential resource can assist women with mental illnesses in making informed decisions regarding psychotropic medication use during pregnancy?,Psychological counseling,Self-help books,Telehealth services,Patient decision aids,Patient decision aids,4,4.0
36007769,Anxiety,Diagnostic,How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?,Improved recognition,Enhanced recognition,No effect,Impaired recognition,Impaired recognition,4,2.0
36185923,Anxiety,Preventive,What strategies are essential for recognizing and assisting parents experiencing anxiety in the Pediatric Intensive Care Unit?,Reduced medication,Increased patient visits,Routine screening,Minimized communication,Routine screening,3,2.0
34328228,Anxiety,Prognostic,"In military veterans, how does sleep quality influence the risk for developing new suicidal ideation?",It varies by age,It has no effect,It decreases the likelihood,It increases the likelihood,It increases the likelihood,4,1.0
36350844,Anxiety,Preventive,What strategies can be implemented to enhance perceived social support among university students to mitigate anxiety during unexpected crises?,Strengthen social support networks,Enhance online classes,Increase academic workload,Limit community interactions,Strengthen social support networks,1,3.0
32770550,Anxiety,Preventive,What strategies are suggested to help nursing students mitigate emotional eating in the context of stress?,Higher academic workloads,Increased psychological counseling,Reduced physical activity,Dietary restrictions,Increased psychological counseling,2,4.0
34635194,Anxiety,Factoid,What was the observed association between headache occurrence and attention-deficit/hyperactivity disorder (ADHD) in children?,Headache is more common in ADHD,Headache is less common in ADHD,Headache is equally common in ADHD and controls,Headache only occurs during ADD treatments,Headache is more common in ADHD,1,3.0
22670854,Anxiety,Diagnostic,What behavioral tendency is exhibited by individuals with high-trait anxiety during social decision-making tasks?,Acceptance of inequitable offers,Increased social withdrawal,Rejecting equitable offers,Aggressive negotiation tactics,Acceptance of inequitable offers,1,4.0
38323511,Anxiety,Factoid,What was the most frequently prescribed psychotropic drug among patients with eosinophilic oesophagitis (EoE) in Denmark?,Antipsychotics,Mood stabilizers,Antidepressants,Anxiolytics,Antidepressants,3,1.0
26784216,Depression,Diagnostic,Which lifestyle factors have been linked to variations in depressive symptoms among nurses in Hong Kong?,Dietary patterns,Social media habits,Sleep quality,Exercise frequency,Sleep quality,3,4.0
33615587,Depression,Diagnostic,Which condition is significantly associated with poorer mother-infant bonding among women before and after childbirth?,Post-traumatic stress disorder,Generalized anxiety disorder,Bipolar disorder,Peripartum depression,Peripartum depression,4,1.0
24534121,Depression,Diagnostic,Which patient characteristics are significantly associated with complex polypharmacy in individuals with bipolar disorder?,Type of depressive episode,Age at first diagnosis,History of suicide attempt,Comorbid personality disorder,History of suicide attempt,3,1.0
36266422,Depression,Factoid,Which class of antidepressants was associated with significantly better mental health-related quality of life among patients?,Tricyclic antidepressants,Selective serotonin reuptake inhibitors,Atypical antidepressants,Serotonin-norepinephrine reuptake inhibitors,Tricyclic antidepressants,1,1.0
34894200,Depression,Diagnostic,Which factors are associated with individuals exhibiting a thinner cortex in the context of bipolar disorder?,Female gender,Younger age,Higher intelligence,Higher body mass index,Higher body mass index,4,1.0
33621911,Depression,Diagnostic,What assessment method is used to track symptomatic changes in major depressive disorder during a clinical trial?,Cognitive testing,Self-reported scales,Behavioral interviews,Ecological momentary assessment,Ecological momentary assessment,4,4.0
35082661,Depression,Diagnostic,Which brain network showed accelerated aging in patients with Major Depressive Disorder?,Default-Mode Network,Cerebellar Network,Somatosensory Network,Visual Network,Default-Mode Network,1,4.0
21118851,Depression,Preventive,What type of antidepressant was associated with an increased risk of cardiovascular disease in the studied population?,Monoamine oxidase inhibitors,Atypical antidepressants,Selective serotonin reuptake inhibitors,Tricyclic antidepressants,Tricyclic antidepressants,4,1.0
32216493,Depression,Preventive,Which medication is suggested to have potential antisuicidal properties in patients with chronic pain and severe psychiatric comorbidity?,Oxycodone,Buprenorphine,Methadone,Fentanyl,Buprenorphine,2,4.0
22560406,Trauma,Diagnostic,What underlying factor related to diagnosis was identified as an independent predictor of involuntary admission status in psychiatric services?,Age,Diagnosis,Gender,Country of origin,Diagnosis,2,4.0
21812588,Trauma,Prognostic,How might the communication of recovery expectations by providers influence outcomes for veterans with mTBI and PTSD?,Have no effect on outcomes,Lead to worse outcomes,Encourage negative perceptions,Cause immediate improvement,Lead to worse outcomes,2,2.0
30198761,Trauma,Diagnostic,What underlying factors may mediate the relationship between racial discrimination and dysregulation of stress reactive hormones among African Americans?,Higher geographical mobility,Decreased faith involvement,Enhanced social support,Increased depressive symptoms,Increased depressive symptoms,4,4.0
22544623,Trauma,Preventive,What role can pharmacists play in the management of posttraumatic stress disorder (PTSD) symptoms?,Screening for signs of PTSD,Diagnosing anxiety disorders,Prescribing antidepressants,Conducting psychotherapy sessions,Screening for signs of PTSD,1,3.0
34955911,Trauma,Diagnostic,What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?,Parental influence,Social isolation,Academic performance,Peer relationships,Social isolation,2,4.0
35572389,Trauma,Preventive,What form of support is proposed as an early intervention strategy to address the trauma experienced by first responders?,Professional therapy,Self-help groups,Family support,Peer support,Family support,3,1.0
33488121,Trauma,Prognostic,What factor was identified as having a mediating role in the relationship between perceived stress and PTSD symptoms in oral cancer patients?,Physical health,Hope,Social support,Coping strategies,Hope,2,1.0
34636115,Trauma,Preventive,What workplace strategies are suggested to reduce PTSD symptoms among hospital nurses?,Extended breaks,Debriefing sessions,Nutrition programs,Financial incentives,Debriefing sessions,2,4.0
17407993,Trauma,Preventive,What might be a key strategy to improve healthcare access for patients diagnosed with bipolar disorder?,Improving patient transportation services,Enhancing psychological therapy options,Increasing awareness among healthcare providers,Reducing medication costs,Increasing awareness among healthcare providers,3,1.0
28131873,Trauma,Factoid,Which type of immobility reaction is strongly associated with the severity of PTSD?,Cognitive immobility,Attentive immobility,Motor immobility,Tonic immobility,Tonic immobility,4,1.0
21728704,Trauma,Prognostic,How might early experiences of trauma influence self-perception and emotional states in later life?,Increase resilience,Enhance social connections,Foster feelings of worthlessness and hopelessness,Promote positive self-image,Foster feelings of worthlessness and hopelessness,3,1.0
21552368,Trauma,Preventive,How might illness perceptions regarding PTSD symptoms influence the utilization of professional treatment among trauma injury survivors?,They have no effect on treatment seeking,They may promote seeking help,They always lead to immediate treatment,They may discourage seeking help,They may discourage seeking help,4,4.0
34082728,Trauma,Preventive,What strategies could potentially mitigate high levels of PTSD among internally displaced Yazidi individuals following traumatic events?,Increasing isolation from support networks,Reducing community engagement,Improving access to basic needs,Decreasing educational opportunities,Improving access to basic needs,3,4.0
12082557,Obsessive/Compulsive Disorders,Diagnostic,What potential subgroup of patients is suggested to experience tics and obsessive-compulsive symptoms following beta-hemolytic streptococcal infections?,Chorea Subtype,TICS Syndrome,OCD Disorder,PANDAS,PANDAS,4,4.0
36054769,Obsessive/Compulsive Disorders,Preventive,What treatment approach is indicated as beneficial for adults with cleft lip and/or palate to manage their body dysmorphic disorder symptoms?,Surgery only,Psychological support,No treatment necessary,Medication without therapy,Psychological support,2,1.0
31125377,Obsessive/Compulsive Disorders,Preventive,What intervention may help in addressing interoceptive deficits in patients with obsessive-compulsive disorder during therapy?,Cognitive restructuring,Medication adjustments,Exposure therapy,Self- and body focus interventions,Self- and body focus interventions,4,1.0
23105832,Obsessive/Compulsive Disorders,Prognostic,How does successful treatment with Fluoxetine impact the oxidative stress levels in patients with obsessive-compulsive disorder?,Has no effect on oxidative stress,Reduces oxidative stress,Increases oxidative stress,Causes oxidative stress,Reduces oxidative stress,2,4.0
17854908,Obsessive/Compulsive Disorders,Diagnostic,What personality trait is investigated as a possible risk factor for familial obsessive-compulsive disorder?,emotional instability,harm avoidance,impulsivity,social anxiety,harm avoidance,2,1.0
25283593,Obsessive/Compulsive Disorders,Factoid,Which cognitive ability is reported to be adversely affected in individuals with obsessive-compulsive symptoms?,Social interactions,Memory retention,Problem-solving skills,Cognitive flexibility,Cognitive flexibility,4,4.0
25637819,Obsessive/Compulsive Disorders,Factoid,Which serotonin-specific reuptake inhibitor is noted for its efficacy in treating obsessive-compulsive disorder?,Duloxetine,Fluoxetine,Paroxetine,Sertraline,Sertraline,4,1.0
24725632,Obsessive/Compulsive Disorders,Factoid,What is the relationship between serum BDNF levels and obsessive-compulsive symptoms related to sex/religion in unmedicated OCD patients?,Higher levels in OCD patients,Lower levels in healthy controls,Higher levels in both groups,No difference between groups,Lower levels in healthy controls,2,1.0
35221957,Obsessive/Compulsive Disorders,Prognostic,What role does machine learning play in predicting changes in symptomatology for OCD patients during crises like pandemics?,Standardizing treatment methods,Reducing therapy sessions,Identifying higher risk patients,Eliminating symptoms entirely,Identifying higher risk patients,3,4.0
33912117,Obsessive/Compulsive Disorders,Diagnostic,Which two psychological constructs are identified as significant factors in the maintenance of obsessive-compulsive symptoms?,Anxiety and depression,Cognitive fusion and experiential avoidance,Stress and cognitive dissonance,Emotional regulation and self-control,Cognitive fusion and experiential avoidance,2,4.0
34613359,Depression,Factoid,Which brain region exhibited reduced gamma-aminobutyric acid (GABA) levels and elevated neural variability in patients with major depressive disorder?,Striatum,Occipital Cortex,Hippocampus,Medial Prefrontal Cortex,Medial Prefrontal Cortex,4,2.0
35140588,Depression,Factoid,Which enzyme's inactivation is associated with glycogen accumulation that contributes to depression-like behaviors in mice?,Glycogen synthase,Brain-type glycogen phosphorylase,Liver glycogen phosphorylase,Muscle glycogen phosphorylase,Brain-type glycogen phosphorylase,2,3.0
21503628,Depression,Prognostic,What impact does participation in a forest therapy camp have on the long-term depression levels of alcoholics?,It worsens depression,It significantly improves depression,It only helps if they are younger than 30,It has no effect,It significantly improves depression,2,2.0
33666500,Anxiety,Factoid,Which intervention aimed to alleviate levels of anxiety and compassion fatigue in health professionals providing end-of-life care?,Cognitive Behavioral Therapy,Mindfulness-Based Compassion Training,Acceptance and Commitment Therapy,Dialectical Behavior Therapy,Mindfulness-Based Compassion Training,2,2.0
34441812,Anxiety,Prognostic,How does perceived control over time potentially influence mental health outcomes during stressful events like the COVID-19 pandemic?,Increases anxiety,Improves physical health,Reduces fear,Enhances social support,Reduces fear,3,2.0
25556718,Obsessive/Compulsive Disorders,Diagnostic,Which brain region's volume demonstrates a significant negative correlation with specific OCD symptoms such as 'aggression/checking'?,Left prefrontal cortex,Right orbitofrontal cortex,Right insula,Right cerebellum,Right cerebellum,4,1.0
34807686,Depression,Prognostic,How are changes in adolescent social interactions associated with subsequent depressive symptoms during crises like COVID-19?,Increased positive interactions lead to more depressive symptoms,Reduced social interactions mitigate depressive symptoms,Increased peer interactions reduce depressive symptoms,Negative interactions with family correlate with increased depressive symptoms,Negative interactions with family correlate with increased depressive symptoms,4,3.0
